"","Text","Types","Tokens","Sentences","speaker","debate","date","primary"
"text62","text62",98,155,16,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text63","text63",6,6,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text64","text64",27,33,3,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text65","text65",2,2,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text66","text66",84,125,6,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text67","text67",5,7,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text68","text68",32,41,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text69","text69",20,21,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text70","text70",10,13,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text71","text71",12,14,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text72","text72",19,30,2,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text73","text73",4,4,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text74","text74",3,8,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text75","text75",9,13,3,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text76","text76",44,77,5,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text77","text77",2,2,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text78","text78",218,451,22,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text79","text79",86,155,12,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text80","text80",17,24,2,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text81","text81",12,15,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text82","text82",12,17,1,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text83","text83",3,3,1,"trump","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
"text84","text84",30,39,2,"clinton","Presidential Debate at the University of Nevada in Las Vegas","October 19th, 2016",0
